Appt,Name,Charity,Date
0,Ratbert,HR Rulers Association,2008-04-28
1,Wally,Skilled Engineers Coop,1989-04-05
2,Alice,Skilled Engineers Coop,2005-06-02
3,Ted,Skilled Engineers Coop,2008-09-05
4,Carol,People In Charge Society,2007-06-09
5,The Boss,Uncarers United,1989-05-03
6,Dilbert,Skilled Engineers Coop,1989-04-05
7,Asok,Skilled Engineers Coop,2012-06-07
8,Wally,Personal Hygiene Society,2002-08-01
9,Alice,Fist of Death Club,1997-12-01
10,Dogbert,Megalomaniac Action Group,1985-04-05
11,Asok,Intensity Association,2015-09-08
